timestamp_utc,carpark,available_spaces,total_spaces,occupancy,status,parking_option,source_last_updated
2025-09-23 10:13:44,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 10:13:44,Victoria Street,516,895,0.4235,,Short-term,
2025-09-23 11:10:54,Civic,759,928,0.1821,,Short-term,
2025-09-23 11:10:54,Downtown,1339,1944,0.3112,,Short-term,
2025-09-23 11:10:54,Ronwood,518,678,0.236,,Short-term,
2025-09-23 11:10:54,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 11:10:54,Victoria Street,537,895,0.4,,Short-term,
2025-09-23 12:25:48,Civic,780,928,0.1595,,Short-term,
2025-09-23 12:25:48,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 12:25:48,Ronwood,518,678,0.236,,Short-term,
2025-09-23 12:25:48,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 12:25:48,Victoria Street,554,895,0.381,,Short-term,
2025-09-23 13:23:36,Civic,781,928,0.1584,,Short-term,
2025-09-23 13:23:36,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 13:23:36,Ronwood,518,678,0.236,,Short-term,
2025-09-23 13:23:36,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 13:23:36,Victoria Street,556,895,0.3788,,Short-term,
2025-09-23 14:13:39,Civic,781,928,0.1584,,Short-term,
2025-09-23 14:13:39,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 14:13:39,Ronwood,518,678,0.236,,Short-term,
2025-09-23 14:13:39,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 14:13:39,Victoria Street,557,895,0.3777,,Short-term,
2025-09-23 15:13:57,Civic,781,928,0.1584,,Short-term,
2025-09-23 15:13:57,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 15:13:57,Ronwood,518,678,0.236,,Short-term,
2025-09-23 15:13:57,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 15:13:57,Victoria Street,557,895,0.3777,,Short-term,
2025-09-23 16:16:29,Civic,781,928,0.1584,,Short-term,
2025-09-23 16:16:29,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 16:16:29,Ronwood,518,678,0.236,,Short-term,
2025-09-23 16:16:29,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 16:16:29,Victoria Street,557,895,0.3777,,Short-term,
2025-09-23 17:10:06,Civic,781,928,0.1584,,Short-term,
2025-09-23 17:10:06,Downtown,1344,1944,0.3086,,Short-term,
2025-09-23 17:10:06,Ronwood,518,678,0.236,,Short-term,
2025-09-23 17:10:06,Toka Puia,395,420,0.0595,,Short-term,
2025-09-23 17:10:06,Victoria Street,557,895,0.3777,,Short-term,
2025-09-23 18:19:27,Civic,771,928,0.1692,,Short-term,
2025-09-23 18:19:27,Downtown,1310,1944,0.3261,,Short-term,
2025-09-23 18:19:27,Ronwood,510,678,0.2478,,Short-term,
2025-09-23 18:19:27,Toka Puia,391,420,0.069,,Short-term,
2025-09-23 18:19:27,Victoria Street,553,895,0.3821,,Short-term,
2025-09-23 19:10:40,Civic,739,928,0.2037,,Short-term,
2025-09-23 19:10:40,Downtown,1248,1944,0.358,,Short-term,
2025-09-23 19:10:40,Ronwood,480,678,0.292,,Short-term,
2025-09-23 19:10:40,Toka Puia,387,420,0.0786,,Short-term,
2025-09-23 19:10:40,Victoria Street,538,895,0.3989,,Short-term,
2025-09-23 20:14:31,Civic,669,928,0.2791,,Short-term,
2025-09-23 20:14:31,Downtown,1050,1944,0.4599,,Short-term,
2025-09-23 20:14:31,Ronwood,370,678,0.4543,,Short-term,
2025-09-23 20:14:31,Toka Puia,340,420,0.1905,,Short-term,
2025-09-23 20:14:31,Victoria Street,493,895,0.4492,,Short-term,
2025-09-23 21:11:24,Civic,592,928,0.3621,,Short-term,
2025-09-23 21:11:24,Downtown,817,1944,0.5797,,Short-term,
2025-09-23 21:11:24,Ronwood,245,678,0.6386,,Short-term,
2025-09-23 21:11:24,Toka Puia,288,420,0.3143,,Short-term,
2025-09-23 21:11:24,Victoria Street,436,895,0.5128,,Short-term,
2025-09-23 22:12:03,Civic,433,928,0.5334,,Short-term,
2025-09-23 22:12:03,Downtown,598,1944,0.6924,,Short-term,
2025-09-23 22:12:03,Ronwood,199,678,0.7065,,Short-term,
2025-09-23 22:12:03,Toka Puia,246,420,0.4143,,Short-term,
2025-09-23 22:12:03,Victoria Street,323,895,0.6391,,Short-term,
2025-09-23 23:11:27,Civic,372,928,0.5991,,Short-term,
2025-09-23 23:11:27,Downtown,457,1944,0.7649,,Short-term,
2025-09-23 23:11:27,Ronwood,191,678,0.7183,,Short-term,
2025-09-23 23:11:27,Toka Puia,240,420,0.4286,,Short-term,
2025-09-23 23:11:27,Victoria Street,237,895,0.7352,,Short-term,
2025-09-24 00:59:35,Civic,401,928,0.5679,,Short-term,
2025-09-24 00:59:35,Downtown,353,1944,0.8184,,Short-term,
2025-09-24 00:59:35,Ronwood,209,678,0.6917,,Short-term,
2025-09-24 00:59:35,Toka Puia,245,420,0.4167,,Short-term,
2025-09-24 00:59:35,Victoria Street,189,895,0.7888,,Short-term,
2025-09-24 02:23:14,Civic,435,928,0.5312,,Short-term,
2025-09-24 02:23:14,Downtown,468,1944,0.7593,,Short-term,
2025-09-24 02:23:14,Ronwood,216,678,0.6814,,Short-term,
2025-09-24 02:23:14,Toka Puia,258,420,0.3857,,Short-term,
2025-09-24 02:23:14,Victoria Street,224,895,0.7497,,Short-term,
2025-09-24 03:27:32,Civic,484,928,0.4784,,Short-term,
2025-09-24 03:27:32,Downtown,619,1944,0.6816,,Short-term,
